johnlewisweeklydistro.site	johnlewisweeklydistro.country	johnlewisweeklydistro.weekbegins	johnlewisweeklydistro.weekends	johnlewisweeklydistro.direct	johnlewisweeklydistro.displayads	johnlewisweeklydistro.mail	johnlewisweeklydistro.organic_search	johnlewisweeklydistro.paid_search	johnlewisweeklydistro.referrals	johnlewisweeklydistro.social
figleaves.com*	999	24.07.2017	30.07.2017	0.3141009055627425	0.025873221216041395	0.05433376455368693	0.32289780077619656	0.07503234152652004	0.17516170763260025	0.03260025873221215
javari.co.uk*	999	24.07.2017	30.07.2017	0.0	0.0	0.0	1.0	0.0	0.0	0.0
canon.co.uk*	999	25.07.2016	31.07.2016	0.2148809523809524	0.0011904761904761906	0.008928571428571428	0.655952380952381	0.016666666666666666	0.09226190476190477	0.01011904761904762
boots.com*	999	24.07.2017	30.07.2017	0.18999021421004425	0.007352809150162495	0.01649668719587739	0.5878476648770937	0.06922324170003409	0.10857064622124857	0.020518736645538927
lecreuset.co.uk*	999	24.07.2017	30.07.2017	0.2127659574468085	0.026595744680851064	0.0	0.5319148936170213	0.026595744680851064	0.20212765957446807	0.0
sainsbury.co.uk*	999	24.07.2017	30.07.2017	1.0	0.0	0.0	0.0	0.0	0.0	0.0
simbasleep.com*	999	24.07.2017	30.07.2017	0.17383177570093458	0.037383177570093455	0.0	0.40934579439252333	0.09345794392523364	0.12710280373831775	0.1588785046728972
uk.lizearle.com#	999	24.07.2017	30.07.2017	0.11083743842364531	0.03694581280788177	0.14778325123152708	0.27832512315270935	0.16009852216748768	0.229064039408867	0.03694581280788177
whistles.com*	999	24.07.2017	30.07.2017	0.24301439458086369	0.04233700254022016	0.06350550381033024	0.4267569856054192	0.05503810330228621	0.13971210838272652	0.029635901778154113
fitness-superstore.co.uk*	999	24.07.2017	30.07.2017	0.10621062106210624	0.025202520252025205	0.02700270027002701	0.5625562556255627	0.18451845184518456	0.09000900090009002	0.0045004500450045015
mulberry.com*	999	24.07.2017	30.07.2017	0.18082663605051663	0.04822043628013777	0.015068886337543054	0.4128874856486796	0.15714695752009183	0.10548220436280138	0.08036739380022961
sanderson-uk.com*	999	24.07.2017	30.07.2017	0.1833910034602076	0.0	0.05190311418685121	0.47750865051903113	0.0	0.25259515570934254	0.03460207612456747
elc.co.uk*	999	24.07.2017	30.07.2017	0.17275280898876408	0.04213483146067416	0.1264044943820225	0.44803370786516866	0.09831460674157305	0.08426966292134833	0.028089887640449444
hobbs.co.uk*	999	24.07.2017	30.07.2017	0.3151296829971182	0.05043227665706052	0.06051873198847262	0.2773775216138329	0.06556195965417867	0.19063400576368875	0.040345821325648415
missselfridge.com*	999	24.07.2017	30.07.2017	0.26112933077897194	0.011364743319154462	0.04091307594895606	0.44796571094587123	0.04091307594895606	0.17043867909211932	0.027275383965970706
shop.mango.com#	999	25.07.2016	31.07.2016	0.31996133397776705	0.024468342194296763	0.036974383760270665	0.3112010633156114	0.10065248912518125	0.17556790720154664	0.031174480425326244
disneystore.co.uk*	999	24.07.2017	30.07.2017	0.2612557427258805	0.02909647779479325	0.0349157733537519	0.42266462480857564	0.04226646248085757	0.15834609494640117	0.05145482388973965
steamer.co.uk*	999	24.07.2017	30.07.2017	0.15151515151515152	0.0	0.0	0.48484848484848486	0.24242424242424243	0.09090909090909091	0.030303030303030304
store.apple.com#	999	24.07.2017	30.07.2017	0.10137873003159013	2.641437910049654E-4	0.04486922529871012	0.015038586501216032	8.804793033498847E-5	0.828077268184017	0.010283998263126653
zalando.co.uk*	999	24.07.2017	30.07.2017	0.22437614002406178	0.03968642061551598	0.051670741646291776	0.37663678348274915	0.03718709977878683	0.22616136919315405	0.04428144525944037
swooneditions.com*	999	25.07.2016	31.07.2016	0.35294117647058826	0.007352941176470588	0.022058823529411766	0.22058823529411764	0.1323529411764706	0.19117647058823528	0.07352941176470588
harveynichols.com*	999	24.07.2017	30.07.2017	0.2745423270672072	0.015050989064995695	0.019351271654994465	0.47690133923086353	0.055903673669984014	0.12255805381496496	0.0356923454969898
thewhitecompany.com*	999	24.07.2017	30.07.2017	0.19523660294578504	0.016452522720150426	0.0658100908806017	0.4162488248198058	0.09048887496082733	0.1636634283923535	0.052099655280476345
zarahome.com*	999	24.07.2017	30.07.2017	0.17462094749835605	3.223039795332788E-4	0.07193824823182783	0.6001852620017422	0.025010788811782432	0.11045357378605467	0.01746887569070371
asos.com*	999	24.07.2017	30.07.2017	0.3451333195818333	0.011949766920948136	0.05129078788756004	0.20952556638868594	0.08629543661519733	0.21560667207877632	0.08019845052699909
fatface.com*	999	24.07.2017	30.07.2017	0.2868852459016394	0.0	0.08941877794336811	0.3807749627421759	0.0745156482861401	0.14232488822652758	0.026080476900149033
pcworld.co.uk*	999	24.07.2017	30.07.2017	0.20228359315053215	0.00413171649866539	0.011362220371329822	0.6211937381541062	0.07085893795211143	0.0739183756451708	0.016251418228083868
tedbaker.com*	999	24.07.2017	30.07.2017	0.23616356828698018	0.02931606742859011	0.04586255947417471	0.4233743725576756	0.09640130148297116	0.11942250780726275	0.049459622962345275
zara.com*	999	24.07.2017	30.07.2017	0.3555646237265856	6.256605877125429E-4	0.02366784623232591	0.43950413659245	0.0067371132084886615	0.14076348980516626	0.03313712984727129
boden.co.uk*	999	24.07.2017	30.07.2017	0.2606382978723404	0.022796352583586622	0.1025835866261398	0.20288753799392092	0.11778115501519755	0.2591185410334346	0.03419452887537993
dreams.co.uk*	999	24.07.2017	30.07.2017	0.16292618673691672	0.01950453417093064	0.010638836820507622	0.5365520036476011	0.12872992552814222	0.11398753736258169	0.02766097573331982
ralphlauren.co.uk*	999	24.07.2017	30.07.2017	0.2387610399303396	0.018285856449807188	0.08620475183480532	0.25129991292449305	0.1854708297051872	0.19385495708421444	0.026122652071153125
emmabridgewater.co.uk*	999	24.07.2017	30.07.2017	0.1891891891891892	0.0	0.05791505791505792	0.13513513513513514	0.009652509652509652	0.5888030888030888	0.019305019305019305
harlequin.uk.com*	999	24.07.2017	30.07.2017	0.19272727272727275	0.0	0.16363636363636364	0.3563636363636364	0.0	0.2690909090909091	0.01818181818181818
lauraashley.com*	999	24.07.2017	30.07.2017	0.18829032965426507	0.012791462612382133	0.06907389810686353	0.4482128499378699	0.09465682333162778	0.14092537095241575	0.04604926540457568
hotpoint.co.uk*	999	24.07.2017	30.07.2017	0.16442953020134232	0.0	0.0	0.6208053691275168	0.05033557046979866	0.11409395973154363	0.05033557046979866
joules.com*	999	24.07.2017	30.07.2017	0.22525804493017607	0.009107468123861566	0.09107468123861566	0.27990285367334544	0.050394656952034	0.30601092896174864	0.03825136612021857
samsung.com*	999	24.07.2017	30.07.2017	0.17922737914959183	0.008773150979991673	0.028863246317607043	0.593743674055789	0.058620913164372734	0.10070683407842766	0.03006480225422033
direct.asda.com#	999	24.07.2017	30.07.2017	0.20880226748508074	0.014005655779711803	0.02281289330989867	0.260362808714695	0.0874279432874648	0.32999308342542594	0.07659534799772275
heals.com*	999	24.07.2017	30.07.2017	0.17233009708737865	0.024271844660194178	0.0546116504854369	0.4526699029126214	0.14563106796116507	0.10436893203883496	0.04611650485436893
oakfurnitureland.co.uk*	999	24.07.2017	30.07.2017	0.13839662447257384	0.0	0.06329113924050633	0.2894514767932489	0.3924050632911392	0.05485232067510549	0.06160337552742616
rakuten.co.uk*	999	24.07.2017	30.07.2017	0.36622073578595316	0.0	0.02508361204013378	0.22575250836120403	0.004180602006688963	0.2173913043478261	0.16137123745819398
selfridges.co.uk*	999	24.07.2017	30.07.2017	1.0	0.0	0.0	0.0	0.0	0.0	0.0
kiddicare.com*	999	24.07.2017	30.07.2017	0.11376564277588169	0.017064846416382253	0.0	0.348122866894198	0.15130830489192265	0.32423208191126285	0.04550625711035268
